Transition matrix,2-11 modelled,12-16 modelled,17-24 modelled,25-34 modelled,35-49 modelled,50-69 modelled,70+ modelled
0-1,1,0,0,0,0,0,0
1-4,1,0,0,0,0,0,0
5-9,1,0,0,0,0,0,0
10-14,0.5,0.5,0,0,0,0,0
15-19,0,0.6,0.4,0,0,0,0
20-24,0,0,1,0,0,0,0
25-29,0,0,0,1,0,0,0
30-34,0,0,0,1,0,0,0
35-39,0,0,0,0,1,0,0
40-44,0,0,0,0,1,0,0
45-49,0,0,0,0,1,0,0
50-54,0,0,0,0,0,1,0
55-59,0,0,0,0,0,1,0
60-64,0,0,0,0,0,1,0
65-69,0,0,0,0,0,1,0
70-74,0,0,0,0,0,0,1
75-79,0,0,0,0,0,0,1
80-84,0,0,0,0,0,0,1
85-89,0,0,0,0,0,0,1
90+,0,0,0,0,0,0,1
